5009,Cod Fillet with Roasted Vegetable Ragoût,"['Serves 4', 'four 6-ounce pieces skinless cod fillet', '2 medium zucchini (about 1 1/2 pounds total), cut into 1 1/4-inch pieces', '5 plum tomatoes (about 3/4 pound total), halved', '2 medium red onions, cut into 1/2-inch wedges', '1 large yellow bell pepper, cut into 1/2-inch-wide strips', '2 large garlic cloves, crushed', '4 fresh thyme sprigs', '2 teaspoons vegetable oil', '1/4 cup fresh bread crumbs', '1 tablespoon chopped fresh flat-leafed parsley leaves', '2 tablespoons water', '1 tablespoon soy sauce', '1 tablespoon fresh lemon juice', '2 teaspoons Worcestershire sauce']","['Step 1', 'Preheat oven to 500°F.', 'Step 2', 'Season cod with salt and pepper. In a large shallow baking pan toss zucchini, tomatoes, onions, bell pepper, garlic, and thyme with oil and salt and pepper to taste and spread in one layer. Roast vegetables in middle of oven 20 minutes, or until they begin to brown. Arrange fish over vegetables and roast 7 minutes, or until it just flakes with a fork.', 'Step 3', 'While vegetables and fish are roasting, in a small skillet toast bread crumbs with parsley and salt and pepper to taste over moderate heat, stirring, until golden, about 5 minutes.', 'Step 4', 'Transfer fish carefully to a plate and keep warm, covered. To vegetables add water, soy sauce, lemon juice, and Worcestershire sauce and stir to loosen brown bits from bottom of pan and break up tomatoes. Divide ragout among 4 plates and top with fish and bread crumbs.']"
5010,Angel Food Cake with Chocolate Whipped Cream Icing,"['Makes about 5 cups', '1 cup powdered sugar', '1/2 cup unsweetened cocoa powder', '1/4 cup milk', 'Pinch of cream of tartar', '2 cups chilled whipping cream', '1 prepared angel food cake']","['Step 1', 'Whisk powdered sugar, cocoa powder, milk and cream of tartar in large bowl until smooth. Cover and refrigerate until well chilled, about 1 hour. (Can be prepared 4 hours ahead.)', 'Step 2', 'Using electric mixer, gradually beat cream into chocolate mixture. Continue beating until stiff peaks form. Place cake on platter. Spread top and sides of cake with icing. Slice into wedges and serve.']"
5011,Seared Ahi Tuna Salad,"['Makes 4 main-course servings', 'For dressing', '1/2 cup olive oil', '1/4 cup fresh lime juice', '1/4 cup orange juice', '2 tablespoons soy sauce', '2 tablespoons oriental sesame oil', '2 tablespoons minced fresh chives', '1 tablespoon minced fresh ginger', 'For Wontons', 'Vegetable oil (for deep-frying)', '8 wonton wrappers, cut into thin strips', '12 large cherry tomatoes, cut in half', '2 medium carrots, peeled, cut on diagonal into thin slices', '16 sugar snap peas', '6 tablespoons sesame seeds', '4 5-ounce fresh tuna steaks (each about 3/4 to 1 inch thick)', '8 ounces mixed baby lettuces']","['Make dressing:', 'Step 1', 'Whisk olive oil, lime juice, orange juice, soy sauce, sesame oil, chives and ginger in small bowl to blend. Season with salt and pepper.', 'Make wontons:', 'Step 2', 'Pour oil into heavy medium saucepan to depth of 1 inch. Heat oil to 375°F. Working in batches, fry wonton strips until golden and crisp, about 1 minute. Using tongs, transfer wonton strips to paper towels; drain. Sprinkle with salt and pepper. (Dressing and wonton strips can be made 2 hours ahead. Let stand at room temperature.)', 'Step 3', 'Place tomatoes in small bowl. Add 2 tablespoons dressing and toss to coat. Cook carrots and peas in medium pot of boiling salted water until crisp-tender, about 30 seconds. Drain, rinse with cold water and pat dry. Place in medium bowl; toss with 2 tablespoons dressing.', 'Step 4', 'Stir sesame seeds in heavy large skillet over high heat until seeds are pale golden, about 2 minutes. Transfer seeds to large plate. Sprinkle fish with salt and pepper. Dip fish into seeds, coating on all sides and pressing fish so that seeds adhere. Return same skillet to high heat. Brush skillet with some of deep-frying oil. Add fish to skillet and sear until fish is just opaque in center and coating is deep brown on outside, about 3 minutes per side. Transfer fish to work surface.', 'Step 5', 'Mound lettuces on 4 plates. Thinly slice fish; arrange fish, slices overlapping, on lettuces. Surround lettuces with tomatoes, carrots and peas, dividing equally. Drizzle each salad with some dressing. Garnish with wonton strips. Serve, passing any remaining dressing separately.']"
5012,Roast Leg of Lamb with Mustard and Red Wine Sauce,"['Serves 6', '1 6-to 6 1/4-pound leg of lamb, large bone removed, shank bone left intact', '5 large garlic cloves, pressed', '2 tablespoons mustard seeds', '1 tablespoon dry mustard', '1 tablespoon Dijon mustard', '1 teaspoon salt', '1 teaspoon ground pepper', '1 750-ml Cabernet Sauvignon or other dry red wine', '3 cups unsalted beef stock or canned unsalted broth', '1 14 1/2-ounce can low-salt chicken broth', '3 large shallots, finely chopped', 'Additional dry mustard', 'Fresh parsley sprigs']","['Step 1', 'Trim all fat and connective tissue from lamb. Stir garlic, mustard seeds, 1 tablespoon dry mustard, Dijon mustard, salt and pepper in bowl to form paste. Spread half of paste over 1 side of lamb. Place piece of plastic wrap large enough to cover lamb in baking dish. Place lamb atop plastic wrap, paste side down. Spread remaining paste over second side of lamb. Gather plastic around lamb, covering completely. Chill overnight.', 'Step 2', 'Combine wine, beef stock, chicken broth and shallots in large saucepan. Boil until liquid is reduced to generous 1 cup, about 45 minutes. (Sauce can be made 1 day ahead. Cover and chill.)', 'Step 3', 'Preheat oven to 375°F. Remove plastic from lamb. Place lamb on rack in roasting pan. Sprinkle with additional dry mustard, salt and pepper. Roast until thermometer inserted into thickest part of lamb registers 125°F., about 1 hour 30 minutes. Place on platter. Add sauce to pan. Bring to boil, scraping up any browned bits. Garnish lamb with parsley; carve at the table. Pass sauce separately.']"
5013,"""Route 66"" Chili","['Makes 8 servings', '3 pounds trimmed boneless pork shoulder, cut into 1-inch pieces', 'All purpose flour', '1/2 cup olive oil', '3/4 cup chopped onion', '4 poblano chilies, chopped', '1/4 cup chopped garlic', '1 28-ounce can diced tomatoes in juice', '2 19-ounce cans enchilada sauce', '1 12-ounce bottle amber ale', '1 7-ounce can diced green chilies', '1 tablespoon ground cumin', '1 tablespoon chili powder', 'Sour cream', 'Sliced green onions']","['Step 1', 'Dredge pork in flour to coat; shake off excess. Heat 1/4 cup olive oil in heavy large pot over medium-high heat. Working in batches, add pork and brown on all sides, about 8 minutes. Using slotted spoon, transfer pork to large bowl.', 'Step 2', 'Add remaining 1/4 cup olive oil to same pot. Add onion and sauté until translucent, about 4 minutes. Add poblano chilies and garlic and sauté 2 minutes. Mix in pork, diced tomatoes with their juice, enchilada sauce, ale, diced green chilies, cumin and chili powder. Simmer until meat is tender and chili thickens slightly, stirring occasionally, about 1 hour. Serve chili with sour cream and sliced green onions.']"
5014,Carrot Cupcakes with Ginger-Cream Cheese Icing,"['Makes 12', '1 cup all purpose flour', '3/4 teaspoon baking powder', '3/4 teaspoon baking soda', '1/2 teaspoon salt', '1/2 teaspoon ground cinnamon', '1 cup sugar', '3/4 cup vegetable oil', '2 large eggs', '1 1/2 cups finely grated peeled carrots', '1/4 cup drained canned crushed pineapple in juice', 'Ginger-Cream Cheese Icing', 'Candied violets (optional)']","['Step 1', 'Preheat oven to 350°F. Line twelve 1/3-cup muffin cups with paper liners. Sift first 5 ingredients into medium bowl. Using electric mixer, beat sugar, oil and eggs in large bowl until well blended. Add dry ingredients to egg mixture in 2 additions, beating until well blended after each addition. Mix in carrots and pineapple. Spoon batter into prepared muffin cups, filling each 3/4 full.', 'Step 2', 'Bake cupcakes until tester inserted into center comes out clean, about 30 minutes. Turn cupcakes out onto racks and cool completely. (Can be made 1 day ahead. Cover; store at room temperature.)', 'Step 3', 'Spread top of each cupcake with scant 3 tablespoons Ginger-Cream Cheese Icing. Garnish with candied violets, if desired.']"
5015,"Fettuccine with Pumpkin, Shiitakes and Mascarpone","['Serves 8 first course servings', '4 cups 1/2-inch pieces seeded peeled fresh sugar pumpkin or butternut squash (from 1 1/2 pounds squash)', '1 1/2 tablespoons olive oil', '4 1/2 cups chicken stock or canned low-salt chicken broth', '1 cup mascarpone cheese', '1/2 teaspoon ground cinnamon', '1/4 cup (1/2 stick) butter', '12 ounces shiitake mushrooms, stemmed, thinly sliced', '1 pound fettuccine', '2/3 cup shelled pumpkin seeds, toasted', 'Freshly grated Parmesan cheese']","['Step 1', 'Preheat oven to 450°F. Toss pumpkin with olive oil in large bowl to coat. Transfer pumpkin to baking sheet. Bake until pumpkin is tender and beginning to brown, stirring once, about 30 minutes.', 'Step 2', 'Transfer pumpkin to processor. Add 2 1/2 cups chicken stock. Puree until smooth. Add mascarpone cheese and ground cinnamon. Process to blend. Season with salt and pepper.', 'Step 3', 'Melt butter in heavy large skillet over medium-high heat. Add mushrooms and sauté until beginning to brown, about 5 minutes. Add remaining 2 cups chicken stock. Boil until stock is reduced by half, about 8 minutes. Reduce heat to low. Stir in pumpkin mixture. Season with salt and pepper. (Can be prepared 1 day ahead. Cover and refrigerate. Rewarm over medium heat before continuing.)', 'Step 4', 'Cook fettuccine in large pot of boiling salted water until just tender but still firm to bite. Drain. Transfer fettuccine to large bowl. Add sauce and toasted pumpkin seeds; toss to coat. Season with salt and pepper. Serve, passing Parmesan cheese separately.']"
5016,Oven-Fried Chipotle Chili Chicken,"['Serves 6', '2 whole canned chipotle chilies in adobo (available at Mexican and Hispanic markets) or 2 teaspoons chili powder', '3/4 cup mayonnaise', '6 chicken drumsticks (about 1 1/2 pounds)', '6 chicken wings (about 1 pound)', '2 1/4 cups fine fresh white bread crumbs', '1/4 teaspoons cayenne, or to taste']","['Step 1', 'In a food processor blend together the chipotles, the mayonnaise, and salt and pepper to taste until the mixture is smooth. In a baking pan arrange the chicken pieces in one layer and coat them completely with the mayonnaise mixture. Chill the chicken, covered, for at least 1 hour or overnight.', 'Step 2', 'In a large bowl combine the bread crumbs, the cayenne, salt and pepper to taste and coat each piece of chicken with the bread crumb mixture, patting the mixture on lightly. Arrange the chicken pieces on the lightly oiled racks of 2 roasting pans and bake them in a preheated 425°F oven, turning them once carefully, for 30 minutes. Reduce the temperature to 375°F. and bake the chicken for 10 to 20 minutes more, or until it is cooked through.']"
5017,Pork Chili Verde,"['Makes about 4 cups', '8 fresh Anaheim chilies', '1 teaspoon cumin seeds', '2 tablespoons vegetable oil', '1 cup chopped onion', '2 pounds trimmed boneless pork shoulder, cut into 1/2-inch pieces', '3 garlic cloves, finely chopped', '4 cups (or more) water']","['Step 1', 'Char Anaheim chilies over gas flame or in broiler until blackened on all sides. Enclose in plastic bag 10 minutes. Peel, seed and chop chilies.', 'Step 2', 'Stir cumin seeds in heavy small skillet over medium-low heat until fragrant, about 4 minutes. Transfer to spice grinder; process until finely ground. Set aside.', 'Step 3', 'Heat oil in heavy large pot over medium-high heat. Add onion; sauté 3 minutes. Add pork; cook until juices evaporate and meat browns, stirring often, about 20 minutes. Add chilies, cumin and garlic. Sauté 5 minutes. Add 4 cups water. Simmer uncovered over medium-low heat until meat is very tender and sauce just coats meat, about 1 hour. If necessary, increase heat and continue to simmer until sauce is reduced and just coats meat. Season with salt and pepper. (Can be made 1 day ahead. Cover; chill. Rewarm over medium heat, adding 1/2 cup water to loosen mixture if necessary.)']"
5018,Maple-Pecan Scones,"['Makes about 12', '2 cups all purpose flour', '1/2 cup sugar', '2 teaspoons baking powder', '1/4 teaspoon salt', '6 tablespoons (3/4 stick) chilled unsalted butter, cut into pieces', '1/2 cup toasted chopped pecans', '3/4 cup whipping cream', '2 large egg yolks', '1 1/4 teaspoons maple extract', '1 egg, beaten to blend with 1 teaspoon water (for glaze)']","['Step 1', 'Preheat oven to 425°F. Line large baking sheet with parchment paper. Mix flour, sugar, baking powder, and salt in large bowl. Using fingertips, rub in butter until mixture resembles coarse meal. Stir in chopped pecans.', 'Step 2', 'Whisk cream, egg yolks, and maple extract in medium bowl to blend. Pour over flour mixture; stir until moist clumps form. Turn dough out onto lightly floured work surface and knead gently until smooth, about 4 turns. Pat dough out to 1/2-inch-thick round. Using 2-inch-diameter fluted cutter, cut out scones. Gather scraps. Pat out dough and cut out additional scones. Transfer scones to prepared baking sheet. Brush with egg glaze.', 'Step 3', 'Bake until scones are browned and tester inserted into center comes out clean, about 16 minutes. Cool slightly. Serve warm or at room temperature.']"
5019,"Penne with Chicken, Shiitake Mushrooms, and Capers","['Makes 6 servings', '7 tablespoons olive oil', '1 large red onion, thinly sliced', '4 large garlic cloves, finely chopped', '1 1/2 teaspoons minced fresh rosemary', '1 1/2 pounds fresh shiitake mushrooms, stems trimmed, caps thickly sliced', '1 1/2 pounds skinless boneless chicken breast halves, cut into 3/4-inch cubes', 'All purpose flour', '2 1/2 cups (or more) low-salt chicken broth', '1/2 cup dry white wine', '2 tablespoons drained capers', '1 pound penne pasta', '1/4 cup chopped fresh parsley', 'Freshly grated Parmesan cheese']","['Step 1', 'Heat 2 tablespoons oil in heavy large pot over medium-high heat. Add onion and sauté until golden brown, about 10 minutes. Transfer to medium bowl. Add 2 tablespoons oil to pot. Add garlic and rosemary; sauté 30 seconds. Add mushrooms. Reduce heat to medium, cover, and cook until mushrooms are soft and brown, stirring often, about 15 minutes. Transfer to bowl with onion.', 'Step 2', 'Toss chicken in large bowl with enough flour to coat; shake off excess. Sprinkle with salt and pepper. Heat remaining 3 tablespoons oil in same pot over medium-high heat. Add chicken; sauté until no longer pink, about 5 minutes. Add 2 1/2 cups broth, wine, and capers. Bring to boil, scraping up any browned bits. Add mushroom-onion mixture and simmer until chicken is cooked through, about 5 minutes. Season to taste with salt and pepper.', 'Step 3', 'Meanwhile, cook pasta in large pot of boiling salted water until just tender but still firm to bite, stirring occasionally. Drain. Add pasta to chicken mixture and toss over medium heat until heated through, adding more broth if necessary to moisten. Transfer pasta to large bowl. Sprinkle with parsley. Serve, passing cheese separately.']"
5020,Ricotta Gnocchi with Roasted Tomato,"['Makes 4 (main course) servings', '2 lb plum tomatoes, trimmed and halved lengthwise', '1/2 stick (1/4 cup) unsalted butter', '3 large eggs', '1 (15-oz) container ricotta', '1 cup all-purpose flour']","['Roast tomatoes:', 'Step 1', 'Preheat oven to 400°F.', 'Step 2', 'Put tomatoes, cut sides up, in 1 layer in a 13- by 9-inch baking dish. Dot with 2 tablespoons butter and season well with salt and pepper. Roast in middle of oven until skins are wrinkled and beginning to brown, about 45 minutes. Cool in baking dish.', 'Make gnocchi while tomatoes', 'Step 3', 'Bring a large pot of salted water to a boil.', 'Step 4', 'Beat together eggs and ricotta in a large bowl with an electric mixer until blended. Stir in flour, 1 teaspoon kosher salt, and 1/2 teaspoon pepper until combined. (Batter will be soft.)', 'Step 5', 'Use 2 teaspoons (flatware, not measuring spoons) to form gnocchi: Scoop up a rounded teaspoon of batter, then use second spoon to scoop mixture off spoon and into boiling water. Make 9 more gnocchi.', 'Step 6', 'Simmer briskly until gnocchi are just firm in center and cooked through, about 5 minutes. Transfer with a slotted spoon to a platter and cool, covered with damp paper towel. Continue making gnocchi in batches of 10.', 'Make sauce and sauté gnocchi:', 'Step 7', 'When tomatoes are cool enough to handle, peel and seed them over roasting pan. Slice tomato flesh lengthwise 1/4 inch thick and put in a medium saucepan. Scrape skins, seeds, and any juices from roasting pan into a fine sieve set over saucepan with tomatoes and press on solids in sieve to extract juices. Discard skins and seeds.', 'Step 8', 'Stir 1/4 cup water into tomatoes and bring to a low simmer over low heat. While tomatoes are coming to a simmer, melt remaining 2 tablespoons butter in a 12-inch nonstick skillet over moderate heat, then cook gnocchi, turning gently, until heated through, 4 to 5 minutes.', 'Step 9', 'Season gnocchi with salt and pepper and serve with warm tomatoes.']"
