,recipe_name,ingredients,steps,servings
10,Strawberry Vanilla Puff Pastry Delight,"['1 sheet all-butter puff pastry', '4 tbsp icing sugar, plus extra for dusting', '300g ripe strawberries, hulled and sliced', '1 vanilla pod, seeds scraped out', '1/2 tsp vanilla extract', '300ml double cream', '2 tbsp golden caster sugar']","['Preheat your oven to 200°C (180°C fan-assisted) or Gas Mark 6.', 'Unroll the puff pastry onto a baking sheet lined with parchment paper. Prick the pastry all over with a fork. This will help the pastry rise evenly.', 'Lightly dust the surface of the pastry with icing sugar. Bake in the preheated oven for 15-20 minutes or until the pastry is puffed and golden brown.', 'While the pastry is baking, prepare the cream filling. In a mixing bowl, whisk the double cream, vanilla pod seeds, vanilla extract, and golden caster sugar together until the mixture forms soft peaks.', 'Once the puff pastry is baked, remove it from the oven and let it cool slightly on a wire rack. Once cooled, slice the pastry into individual rectangles or squares.', 'Wash, hull, and slice the ripe strawberries.', 'To assemble, place a dollop of the vanilla cream onto each pastry piece, spreading it out slightly.', 'Top the vanilla cream with a layer of sliced strawberries, arranging them in a neat pattern.', 'Dust each assembled pastry with a bit more icing sugar just before serving.', 'Serve your Strawberry Vanilla Puff Pastry Delight fresh for the best texture and taste.']",
11,Honey-Glazed Pork Fillet with Peach Salad,"['lean pork fillet', 'peaches', 'lemon', 'clear honey', 'Little Gem lettuces', 'watercress', 'olive oil', 'Dijon mustard', 'salt', 'black pepper']","['Preheat the oven to 200°C (400°F, gas mark 6).', 'Season the pork fillet with salt and black pepper.', 'In a mixing bowl, whisk together juice of the lemon, 2 tablespoons of olive oil, 2 tablespoons of clear honey, and 1 tablespoon of Dijon mustard to create a marinade.', 'Place the pork fillet in the marinade, making sure it is well-coated, and let it marinate for at least 15 minutes.', 'Heat a skillet over medium-high heat. Sear the pork fillet on all sides until golden brown, about 2 minutes per side.', 'Transfer the pork to a baking dish, and pour over the remaining marinade.', 'Roast in the preheated oven for about 20 minutes, or until the pork reaches an internal temperature of 63°C (145°F).', 'While the pork is roasting, prepare the salad by chopping Little Gem lettuces and watercress, then place them in a large salad bowl.', 'Thinly slice the peaches and add them to the salad.', 'In a small bowl, mix together 2 tablespoons of olive oil, 1 tablespoon of clear honey, 1 tablespoon of lemon juice, and 1 teaspoon of Dijon mustard to create a salad dressing.', 'Drizzle the dressing over the salad and gently toss to combine.', 'Once the pork is done, let it rest for a few minutes before slicing it into medallions.', 'Serve the honey-glazed pork fillet with a side of peach salad.']",
12,Savory Ham and Triple-Cheese Breakfast Sandwich,"['2 slices of ham', '2 slices of Monterey Jack cheese', '2 slices of cheddar cheese', '2 slices of bread', '1 tablespoon of butter', '1 egg', 'A handful of salad (lettuce, arugula, etc.)']","['Lay out the 2 slices of bread on a clean surface.', 'On one slice of bread, layer a slice of Monterey Jack cheese, followed by a slice of ham, and then a slice of cheddar cheese.', 'Close the sandwich with the other slice of bread.', 'Heat a skillet over medium heat and add half the butter until melted.', 'Carefully place the sandwich in the skillet, and grill until the bread is golden brown and the cheese has started to melt, about 2-3 minutes.', 'Flip the sandwich over, adding the rest of the butter to the skillet, and grill the other side until golden brown, another 2-3 minutes.', 'Remove the sandwich from the skillet and place it on a plate.', 'Using the same skillet, reduce the heat to low and crack the egg into the skillet, sprinkle with a pinch of salt and pepper, and cook to your preferred doneness.', 'Open the sandwich and carefully slide the fried egg onto the bottom bread slice.', 'Top the egg with the salad greens.', 'Close the sandwich, slice in half, and serve immediately.']",
13,Turkey Avocado Lime Wrap with Spicy Jalapeño Dressing,"['flour tortilla', 'olive oil', 'lime', 'jalapeños', 'vinegar', 'salad leaves', 'avocado', 'tomato', 'red onion', 'cooked turkey', 'cheddar', 'soured cream', 'salt', 'sugar']","['Start by preparing the spicy jalapeño dressing. Finely dice one or two jalapeños, depending on your heat preference. In a small bowl, mix together 2 tablespoons of olive oil, the juice of one lime, 1 tablespoon of vinegar, a pinch of sugar, and salt to taste. Add in the diced jalapeños, stir well, and set aside for the flavors to meld.', 'Next, prepare the filling for your wraps. Thinly slice the red onion and tomato. Shred the salad leaves gently by hand. Cut the avocado in half, remove the pit, and slice the avocado flesh into thin strips. Cut the cooked turkey into bite-size strips or shred it.', 'Grate the cheddar cheese, and have your soured cream ready.', ""Take a flour tortilla and gently warm it in a dry skillet for about 20 seconds on each side or until it's just pliable."", 'Assemble the wrap. Lay the warmed tortilla on a flat surface and start by spreading a tablespoon of soured cream onto the center of the tortilla. Layer the shredded salad leaves on top, followed by the sliced red onion, tomato, and avocado.', 'Add the cooked turkey on top of the vegetables, and sprinkle with a generous amount of grated cheddar cheese.', ""Drizzle the prepared jalapeño dressing over the assembled ingredients, ensuring it's evenly distributed."", 'Carefully fold the sides of the tortilla inward over the filling, then roll it up from the bottom to form a tight wrap. If necessary, you can secure the wrap with a toothpick or wrap it in parchment paper to hold it together.', ""Repeat the process if you're making multiple wraps. Serve the turkey avocado lime wraps immediately, while they're fresh and the tortilla is still soft.""]",
14,Gluten-Free Citrus Potato Cake with Chocolate Egg Garnish,"['200g butter, softened', '200g golden caster sugar', '4 eggs', '200g gluten-free self-raising flour', '1 tsp gluten-free baking powder', '200g mashed potatoes', 'Zest of 1 lemon', 'Zest and juice of 1 orange', '150g icing sugar', '1 tbsp lemon juice', 'Small chocolate eggs for decoration']","['Preheat your oven to 180°C (160°C for fan ovens), Gas Mark 4. Grease and line a 20cm round cake tin with baking paper.', 'In a large mixing bowl, cream together the softened butter and golden caster sugar until light and fluffy.', 'Beat in the eggs, one at a time, adding a spoonful of the gluten-free flour with each egg to prevent the mixture from curdling.', 'Sift in the remaining gluten-free self-raising flour and gluten-free baking powder, folding gently into the batter.', 'Fold in the mashed potatoes, lemon zest, and orange zest until evenly distributed throughout the mixture.', 'Add the juice of the orange, stirring until just combined. Be careful not to overmix.', 'Pour the batter into the prepared cake tin and smooth the top with the back of a spoon.', 'Bake for 45-50 minutes, or until a skewer inserted into the center of the cake comes out clean.', 'Allow the cake to cool in the tin for 10 minutes before transferring to a wire rack to cool completely.', ""For the icing, sift the icing sugar into a bowl. Add the lemon juice gradually, stirring until you have a thick, but pourable, icing. Add more juice if it's too stiff."", 'Drizzle the icing over the cooled cake, letting it drip down the sides.', 'Decorate the top of the cake with small chocolate eggs, placing them while the icing is still slightly wet to ensure they stick.', 'Allow the icing to set before slicing. Serve and enjoy your Gluten-Free Citrus Potato Cake with Chocolate Egg Garnish!']",
15,Lemon Butter Broccoli with Breadcrumbs,"['broccoli', 'butter', 'breadcrumbs', 'lemon', 'salt', 'black pepper']","['Wash the broccoli thoroughly and cut it into medium-sized florets.', 'Bring a pot of salted water to a boil and blanch the broccoli florets for 2-3 minutes or until they are bright green and slightly tender. Drain and set aside.', 'In a large pan, melt a generous amount of butter over medium heat.', 'Grate the zest of the lemon and juice it, keeping both zest and juice aside.', 'Add the blanched broccoli florets to the pan with melted butter. Toss them to coat evenly, and cook for 2 minutes.', 'Sprinkle salt and freshly ground black pepper over the broccoli to taste and continue to sauté for another minute.', 'Add the breadcrumbs to the pan with broccoli and toss everything together. Cook until the breadcrumbs are golden brown and crispy, usually around 3-4 minutes.', 'Finally, drizzle the lemon juice over the broccoli and breadcrumb mixture, stir well, and allow cooking for an additional 1 minute to infuse the flavors.', 'Transfer the Lemon Butter Broccoli with Breadcrumbs to a serving dish and garnish with the grated lemon zest.', 'Serve immediately as a delicious side dish, perfect for pairing with your favorite main course.']",
16,Lemony Chicken Noodle Bowl with Sherry Vinegar Essence,"['2 chicken breasts', '4 cups low-salt chicken stock', '200g wholewheat noodles', '1 cup baby corn, halved', '2 eggs, beaten', '2 tablespoons lemon juice', '1 tablespoon sherry vinegar', '3 spring onions, thinly sliced', 'Salt to taste', 'A pinch of sugar', '2 tablespoons oil', 'Ground black pepper to taste']","['Begin by poaching the chicken breasts. In a large pot, bring the low-salt chicken stock to a gentle simmer. Add the chicken breasts, ensuring they are submerged. Poach them for 15-20 minutes or until fully cooked through. Once done, remove the chicken breasts from the pot and let them cool before shredding into bite-sized pieces.', 'Meanwhile, bring another pot of water to a boil and cook the wholewheat noodles according to the package instructions until they are al dente. Drain and rinse under cold water to stop the cooking process, then set aside.', 'Heat a skillet over medium heat, add a bit of oil, and gently sauté the baby corn until they have a slight golden color and are tender, for about 5-7 minutes. Season with salt and pepper to taste.', 'In the same skillet, reduce heat, and add the beaten eggs, stirring continuously to create soft curds. Once the eggs are softly set, remove them from the skillet and set aside.', 'In a small bowl, whisk together the lemon juice, sherry vinegar, a pinch of sugar, and salt to create a simple sauce.', 'To assemble the noodle bowl, divide the cooked noodles between two bowls. Similarly, divide the shredded chicken, cooked baby corn, and scrambled eggs between each bowl.', 'Drizzle each bowl with the lemon-sherry sauce and then scatter the sliced spring onions on top for a fresh, crisp finish.', 'Serve the Lemony Chicken Noodle Bowl immediately, with extra lemon juice and sherry vinegar on the side for an additional punch of flavor if desired.']",
17,Spring Vegetable Medley with Crisp Pancetta and Mint,"['2 tablespoons olive oil', '200g wafer thin smoked pancetta rashers', '150g soya beans', '150g broad beans', '200g broccoli, cut into small florets', '150g petits pois', '1 lemon, zest and juice', 'A handful of mint leaves, chopped', 'Salt', 'Black pepper']","['Prepare the vegetables: Blanch the broad beans, soya beans, broccoli, and petits pois in boiling salted water until they are bright green and tender. This should take about 3-5 minutes. Once blanched, drain and set aside.', 'Crisp the pancetta: In a large frying pan, heat 1 tablespoon of olive oil over medium heat. Add the pancetta rashers and cook until they are crisp and golden. Remove the pancetta from the pan and place it on a paper towel to absorb excess oil.', 'Combine the medley: In the same pan, add the remaining tablespoon of olive oil if needed. Then add the blanched vegetables and sauté for 3-4 minutes until they are heated through. Be careful not to overcook them as they should retain their crunch.', 'Add the zest and juice of one lemon to the pan with the vegetables, along with the chopped mint leaves. Season with salt and freshly ground black pepper to taste. Toss everything together gently to combine.', 'Serve: Break the crisp pancetta into bite-sized pieces and sprinkle over the top of the vegetable medley. Serve immediately as a fresh and vibrant dish that showcases the flavors of spring with a zesty and minty touch.']",
18,Sausage & Apple Rolls with Tangy Red Cabbage Slaw,"['4 pork sausages', '1 eating apple, sliced', '6 sage leaves, chopped', '2 tbsp red wine vinegar', '1 tbsp caster sugar', '1 red onion, thinly sliced', '1/4 head red cabbage, shredded', '1 tsp wholegrain mustard', '4 bread rolls', 'Salt, to taste', 'Oil, for cooking']","['Preheat your grill or barbecue to medium-high heat. Grill the pork sausages, turning occasionally, until thoroughly cooked and browned on all sides. This should take about 15-20 minutes.', 'While the sausages are cooking, prepare the red cabbage slaw. In a large bowl, mix the red wine vinegar and caster sugar until the sugar is dissolved. Add the shredded red cabbage, sliced red onion, wholegrain mustard, and chopped sage leaves. Season with salt to taste and toss everything together until the cabbage is coated in the dressing. Set aside to marinate.', 'In a pan over medium heat, add a bit of oil and place the sliced apples. Cook the apples until they become slightly softened and a bit caramelized, roughly 5 minutes.', 'When the sausages are cooked, remove them from the grill and let them rest for a couple of minutes. Slice the bread rolls in half and if preferred, you can toast them lightly on the grill or in a toaster.', 'Assemble the sausage rolls by placing a cooked sausage on the bottom half of each bread roll, followed by the cooked apple slices, and a spoonful of the tangy red cabbage slaw.', 'Top with the other half of the bread rolls and serve immediately, offering extra red cabbage slaw on the side.']",
19,Citrus-Dijon Glazed Chicken with Beetroot-Watercress Salad,"['chicken thighs', 'oranges', 'Dijon mustard', 'olive oil', 'spinach', 'rocket', 'watercress salad', 'cooked beetroot', 'salt', 'pepper']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Begin by preparing the glaze for the chicken. In a small bowl, zest one of the oranges and then juice it, removing any seeds. Combine the orange juice and zest with two tablespoons of Dijon mustard, two tablespoons of olive oil, a pinch of salt, and a pinch of pepper. Whisk together until fully combined.', 'Arrange the chicken thighs in a baking dish. Season both sides with salt and pepper to taste.', 'Brush the orange-Dijon glaze generously over each chicken thigh, making sure they are well-coated.', 'Place the glazed chicken thighs in the preheated oven and bake for 35-40 minutes, or until the internal temperature reaches 165 degrees F (74 degrees C) and the glaze is nicely caramelized.', 'While the chicken is cooking, prepare the salad. In a large salad bowl, combine a handful each of spinach, rocket, and watercress salad leaves.', 'Peel and chop the cooked beetroot into bite-sized pieces, and add them to the salad bowl.', 'In another small bowl, make a simple dressing by whisking together three tablespoons of olive oil, one tablespoon of Dijon mustard, the juice of another orange, and a pinch each of salt and pepper.', 'Drizzle the dressing over the salad and toss gently to coat the leaves and beetroot evenly.', 'Once the chicken is fully cooked, remove it from the oven and let it rest for a few minutes.', 'To serve, place a generous serving of the beetroot-watercress salad on each plate, and top with a couple of glazed chicken thighs.', 'Enjoy your Citrus-Dijon Glazed Chicken with Beetroot-Watercress Salad immediately.']",
20,Sautéed Green Beans with Shallots,"['green beans', 'butter', 'shallots', 'salt', 'black pepper']","['Wash and trim the ends of the green beans.', 'Finely dice the shallots.', 'Heat a skillet over medium heat and add the butter.', 'Once the butter has melted, add the diced shallots to the skillet. Sauté them, stirring occasionally, until they become translucent and slightly golden.', 'Add the green beans to the skillet with the shallots.', 'Season with salt and black pepper to taste.', 'Cook the green beans, stirring occasionally, until they are tender but still crisp, about 5 to 7 minutes.', 'Once cooked to desired tenderness, remove from heat.', 'Serve the sautéed green beans with shallots as a side dish.']",
21,Spicy Thai Prawn Noodle Salad,"['Thai rice noodles', 'sesame oil', 'eggs', 'red chilli', 'ginger', 'peeled cooked Atlantic prawn', 'soy sauce', 'coriander', 'mint', 'lime zest', 'lime juice', 'roasted peanuts', 'salt', 'sugar']","['Cook the Thai rice noodles as per the package instructions, then rinse under cold water and drain. Toss them with a bit of sesame oil to prevent them from sticking together.', 'Beat the eggs with a pinch of salt. Heat a small amount of oil in a pan and scramble the eggs until just cooked. Remove from the pan and set aside.', 'Slice the red chilli and grate the ginger. In the same pan, add a bit more sesame oil and sauté the red chilli and ginger until aromatic.', 'Toss the peeled cooked Atlantic prawn in the pan and stir-fry for 1-2 minutes if they are cold (if they are still warm, just toss them through to coat with the chilli and ginger). Then, drizzle with a small amount of soy sauce.', 'In a large mixing bowl, combine the noodles, scrambled eggs, and the prawn mixture.', 'Chop the fresh coriander and mint. Add the herbs to the bowl along with lime zest and lime juice. Season the mixture with a pinch of salt and sugar, to taste.', 'Serve the noodle salad garnished with roughly crushed roasted peanuts on top.']",
